Text,Back Extra,Word,TranslationJa,Audio,Image
"能力, 才能, 力量<br>He had the {{c1::ability}} to explain things clearly.","ability<br>能力, 才能, 力量<br>[sound:ukabdic018.mp3]<br><img src=""ability.jpg"">",ability,"能力, 才能, 力量",ukabdic018.mp3,ability.jpg
"海外で（へ）, 外国に（へ）<br>Are you going {{c1::abroad}} this summer?","abroad<br>海外で（へ）, 外国に（へ）<br>[sound:ukabrea004.mp3]<br><img src=""abroad.jpg"">",abroad,"海外で（へ）, 外国に（へ）",ukabrea004.mp3,abroad.jpg
"まったく, 絶対に, 完全に<br>The food was {{c1::absolutely}} delicious.","absolutely<br>まったく, 絶対に, 完全に<br>[sound:ukabrea023.mp3]<br><img src=""absolutely.jpg"">",absolutely,"まったく, 絶対に, 完全に",ukabrea023.mp3,absolutely.jpg
"（贈り物・申し出）を受け入れる, 受諾する<br>He {{c1::accepted}} the job.","accept<br>（贈り物・申し出）を受け入れる, 受諾する<br>[sound:ukac___020.mp3]<br><img src=""accept.jpg"">",accept,"（贈り物・申し出）を受け入れる, 受諾する",ukac___020.mp3,accept.jpg
"利用可能なこと, 閲覧が可能なこと<br>Do you have {{c1::access}} to a computer?","access<br>利用可能なこと, 閲覧が可能なこと<br>[sound:ukac___026.mp3]<br><img src=""access.jpg"">",access,"利用可能なこと, 閲覧が可能なこと",ukac___026.mp3,access.jpg
"〈場所・人など〉近づきやすい，行きやすい.<br>The resort is easily {{c1::accessible}} by road, rail, and air.","accessible<br>〈場所・人など〉近づきやすい，行きやすい.<br>[sound:ukac___028.mp3]<br><img src=""accessible.jpg"">",accessible,〈場所・人など〉近づきやすい，行きやすい.,ukac___028.mp3,accessible.jpg
事故<br>a car {{c1::accident}},"accident<br>事故<br>[sound:ukacces002.mp3]<br><img src=""accident.jpg"">",accident,事故,ukacces002.mp3,accident.jpg
〈施設・乗り物などが〉〈人を〉収容する，乗せる，泊める.<br>New students may be {{c1::accommodated}} in halls of residence.,"accommodate<br>〈施設・乗り物などが〉〈人を〉収容する，乗せる，泊める.<br>[sound:ukacces011.mp3]<br><img src=""accommodate.jpg"">",accommodate,〈施設・乗り物などが〉〈人を〉収容する，乗せる，泊める.,ukacces011.mp3,accommodate.jpg
"宿, 宿泊施設<br>The price includes airfare, hotel {{c1::accommodations}} hotel accommodations, and tickets to the theatre.","accommodation<br>宿, 宿泊施設<br>[sound:ukacces013.mp3]<br><img src=""accommodation.jpg"">",accommodation,"宿, 宿泊施設",ukacces013.mp3,accommodation.jpg
"～を成し遂げる, 達成する<br>I feel as if I've {{c1::accomplished}} nothing all day.","accomplish<br>～を成し遂げる, 達成する<br>[sound:ukacces019.mp3]<br><img src=""paste-aeefdedbcba13a4cf1a1204bc40c9baff16cd61a.jpg"">",accomplish,"～を成し遂げる, 達成する",ukacces019.mp3,paste-aeefdedbcba13a4cf1a1204bc40c9baff16cd61a.jpg
"成果, 業績<br>Winning a gold medal was her greatest {{c1::accomplishment}}.","accomplishment<br>成果, 業績<br>[sound:ukacces019.mp3]<br><img src=""accomplishment.jpg"">",accomplishment,"成果, 業績",ukacces019.mp3,accomplishment.jpg
"～が言うには, ～によると<br>{{c1::According to}} the weather forecast, it’s going to rain tomorrow.","according to<br>～が言うには, ～によると<br>[sound:ukacces025.mp3]<br><img src=""according-to.jpg"">",according to,"～が言うには, ～によると",ukacces025.mp3,according-to.jpg
それに応じて，適宜に.<br>When we receive your instructions we will act {{c1::accordingly}}.,"accordingly<br>それに応じて，適宜に.<br>[sound:ukacces024.mp3]<br><img src=""paste-2665947cc98f2636afda59021bca1b48835eab48.png"">",accordingly,それに応じて，適宜に.,ukacces024.mp3,paste-2665947cc98f2636afda59021bca1b48835eab48.png
"会計士の仕事, 経理の仕事<br>She works in {{c1::accountancy}}.","accountancy<br>会計士の仕事, 経理の仕事<br>[sound:ukaccou001.mp3]<br><img src=""accountancy.jpg"">",accountancy,"会計士の仕事, 経理の仕事",ukaccou001.mp3,accountancy.jpg
"正確な, 的確な<br>{{c1::accurate}} information","accurate<br>正確な, 的確な<br>[sound:ukaccou015.mp3]<br><img src=""accurate.jpg"">",accurate,"正確な, 的確な",ukaccou015.mp3,accurate.jpg
"～を達成する, ～に成功する<br>We finally {{c1::achieved}} our goal of buying a house.","achieve<br>～を達成する, ～に成功する<br>[sound:ukaceta008.mp3]<br><img src=""index (2).png"">",achieve,"～を達成する, ～に成功する",ukaceta008.mp3,index (2).png
"～を入手する, 手に入れる<br>My grandfather {{c1::acquired}} several valuable paintings.","acquire<br>～を入手する, 手に入れる<br>[sound:ukacqua008.mp3]<br><img src=""acquire.jpg"">",acquire,"～を入手する, 手に入れる",ukacqua008.mp3,acquire.jpg
（～のように）ふるまう<br>Stop {{c1::acting}} like a child!,"act<br>（～のように）ふるまう<br>[sound:ukacqua027.mp3]<br><img src=""act.jpg"">",act,（～のように）ふるまう,ukacqua027.mp3,act.jpg
"本当は, 実際には<br>He didn't {{c1::actually}} say anything important.","actually<br>本当は, 実際には<br>[sound:ukactiv012.mp3]<br><img src=""actually.jpg"">",actually,"本当は, 実際には",ukactiv012.mp3,actually.jpg
"～を改造する, 脚色する<br>The original book has been {{c1::adapted}} for television.","adapt<br>～を改造する, 脚色する<br>[sound:ukactiv029.mp3]<br><img src=""paste-b8cb0683b4f86dcfd0432196890c2b36645fb246.png"">",adapt,"～を改造する, 脚色する",ukactiv029.mp3,paste-b8cb0683b4f86dcfd0432196890c2b36645fb246.png
アダプター（形状の違う機器を接続する器具）<br>a power {{c1::adapter}},"adapter<br>アダプター（形状の違う機器を接続する器具）<br>[sound:ukadapt005.mp3]<br><img src=""adapter.jpg"">",adapter,アダプター（形状の違う機器を接続する器具）,ukadapt005.mp3,adapter.jpg
"追加の, さらなる<br>We need {{c1::additional}} information.","additional<br>追加の, さらなる<br>[sound:ukadapt016.mp3]<br><img src=""additional.jpg"">",additional,"追加の, さらなる",ukadapt016.mp3,additional.jpg
"十分な, ちょうどの<br>I didn't have {{c1::adequate}} time to prepare.","adequate<br>十分な, ちょうどの<br>[sound:ukadapt029.mp3]<br><img src=""paste-8ee64b1cf834a7bbd103f457d936dd52550f3634.png"">",adequate,"十分な, ちょうどの",ukadapt029.mp3,paste-8ee64b1cf834a7bbd103f457d936dd52550f3634.png
"～を調節する, 調整する<br>You can {{c1::adjust}} the heat with this switch.","adjust<br>～を調節する, 調整する<br>[sound:ukadher028.mp3]<br><img src=""adjust.jpg"">",adjust,"～を調節する, 調整する",ukadher028.mp3,adjust.jpg
"調節, 調整, 修正<br>We've made a few {{c1::adjustments}} to the schedule.","adjustment<br>調節, 調整, 修正<br>[sound:ukadjus001.mp3]<br><img src=""adjustment.jpg"">",adjustment,"調節, 調整, 修正",ukadjus001.mp3,adjustment.jpg
"管理, 運営<br>the Obama {{c1::administration}}","administration<br>管理, 運営<br>[sound:ukadjus007.mp3]<br><img src=""administration.jpg"">",administration,"管理, 運営",ukadjus007.mp3,administration.jpg
～に見とれる<br>I was just {{c1::admiring}} your shirt.,"admire<br>～に見とれる<br>[sound:ukadjus016.mp3]<br><img src=""admire.jpg"">",admire,～に見とれる,ukadjus016.mp3,admire.jpg
"（罪などを）認める , （～であると）自白する<br>Both men {{c1::admitted}} to taking illegal drugs.","admit<br>（罪などを）認める , （～であると）自白する<br>[sound:ukadjus024.mp3]<br><img src=""admit.jpg"">",admit,"（罪などを）認める , （～であると）自白する",ukadjus024.mp3,admit.jpg
"入場，入場許可&nbsp;<br>The sign read ""Private - no {{c1::admittance}}"".","admittance<br>入場，入場許可&nbsp;<br>[sound:ukadjus025.mp3]<br><img src=""admittance.jpg"">",admittance,入場，入場許可&nbsp;,ukadjus025.mp3,admittance.jpg
